,x,addr,square,triangle,ramp,sine
0,0,000000,0,0,0,0
1,1,000001,0,3,1,0
2,2,000010,0,7,3,1
3,3,000011,0,11,5,1
4,4,000100,0,15,7,2
5,5,000101,0,19,9,4
6,6,000110,0,23,11,5
7,7,000111,0,27,13,7
8,8,001000,0,31,15,10
9,9,001001,0,35,17,12
10,10,001010,0,39,19,15
11,11,001011,0,43,21,18
12,12,001100,0,47,23,21
13,13,001101,0,51,25,25
14,14,001110,0,55,27,29
15,15,001111,0,59,29,33
16,16,010000,0,63,31,37
17,17,010001,0,67,33,42
18,18,010010,0,71,35,47
19,19,010011,0,75,37,52
20,20,010100,0,79,39,57
21,21,010101,0,83,41,62
22,22,010110,0,87,43,67
23,23,010111,0,91,45,73
24,24,011000,0,95,47,79
25,25,011001,0,99,49,85
26,26,011010,0,103,51,90
27,27,011011,0,107,53,97
28,28,011100,0,111,55,103
29,29,011101,0,115,57,109
30,30,011110,0,119,59,115
31,31,011111,0,123,61,121
32,32,100000,0,127,63,128
33,33,100001,0,131,65,134
34,34,100010,0,135,67,140
35,35,100011,0,139,69,146
36,36,100100,0,143,71,152
37,37,100101,0,147,73,158
38,38,100110,0,151,75,165
39,39,100111,0,155,77,170
40,40,101000,0,159,79,176
41,41,101001,0,163,81,182
42,42,101010,0,167,83,188
43,43,101011,0,171,85,193
44,44,101100,0,175,87,198
45,45,101101,0,179,89,203
46,46,101110,0,183,91,208
47,47,101111,0,187,93,213
48,48,110000,0,191,95,218
49,49,110001,0,195,97,222
50,50,110010,0,199,99,226
51,51,110011,0,203,101,230
52,52,110100,0,207,103,234
53,53,110101,0,211,105,237
54,54,110110,0,215,107,240
55,55,110111,0,219,109,243
56,56,111000,0,223,111,245
57,57,111001,0,227,113,248
58,58,111010,0,231,115,250
59,59,111011,0,235,117,251
60,60,111100,0,239,119,253
61,61,111101,0,243,121,254
62,62,111110,0,247,123,254
63,63,111111,0,251,125,255
64,64,1000000,255,255,127,255
65,65,1000001,255,251,129,255
66,66,1000010,255,247,131,254
67,67,1000011,255,243,133,254
68,68,1000100,255,239,135,253
69,69,1000101,255,235,137,251
70,70,1000110,255,231,139,250
71,71,1000111,255,227,141,248
72,72,1001000,255,223,143,245
73,73,1001001,255,219,145,243
74,74,1001010,255,215,147,240
75,75,1001011,255,211,149,237
76,76,1001100,255,207,151,234
77,77,1001101,255,203,153,230
78,78,1001110,255,199,155,226
79,79,1001111,255,195,157,222
80,80,1010000,255,191,159,218
81,81,1010001,255,187,161,213
82,82,1010010,255,183,163,208
83,83,1010011,255,179,165,203
84,84,1010100,255,175,167,198
85,85,1010101,255,171,169,193
86,86,1010110,255,167,171,188
87,87,1010111,255,163,173,182
88,88,1011000,255,159,175,176
89,89,1011001,255,155,177,170
90,90,1011010,255,151,179,165
91,91,1011011,255,147,181,158
92,92,1011100,255,143,183,152
93,93,1011101,255,139,185,146
94,94,1011110,255,135,187,140
95,95,1011111,255,131,189,134
96,96,1100000,255,127,191,128
97,97,1100001,255,123,193,121
98,98,1100010,255,119,195,115
99,99,1100011,255,115,197,109
100,100,1100100,255,111,199,103
101,101,1100101,255,107,201,97
102,102,1100110,255,103,203,90
103,103,1100111,255,99,205,85
104,104,1101000,255,95,207,79
105,105,1101001,255,91,209,73
106,106,1101010,255,87,211,67
107,107,1101011,255,83,213,62
108,108,1101100,255,79,215,57
109,109,1101101,255,75,217,52
110,110,1101110,255,71,219,47
111,111,1101111,255,67,221,42
112,112,1110000,255,63,223,37
113,113,1110001,255,59,225,33
114,114,1110010,255,55,227,29
115,115,1110011,255,51,229,25
116,116,1110100,255,47,231,21
117,117,1110101,255,43,233,18
118,118,1110110,255,39,235,15
119,119,1110111,255,35,237,12
120,120,1111000,255,31,239,10
121,121,1111001,255,27,241,7
122,122,1111010,255,23,243,5
123,123,1111011,255,19,245,4
124,124,1111100,255,15,247,2
125,125,1111101,255,11,249,1
126,126,1111110,255,7,251,1
127,127,1111111,255,3,253,0
