,x,addr,square,triangle,ramp,sine
0,0,000000,0,0,0,0
1,1,000001,0,1,0,0
2,2,000010,0,3,1,0
3,3,000011,0,5,2,0
4,4,000100,0,7,3,1
5,5,000101,0,9,4,1
6,6,000110,0,11,5,1
7,7,000111,0,13,6,2
8,8,001000,0,15,7,2
9,9,001001,0,17,8,3
10,10,001010,0,19,9,4
11,11,001011,0,21,10,5
12,12,001100,0,23,11,5
13,13,001101,0,25,12,6
14,14,001110,0,27,13,7
15,15,001111,0,29,14,9
16,16,010000,0,31,15,10
17,17,010001,0,33,16,11
18,18,010010,0,35,17,12
19,19,010011,0,37,18,14
20,20,010100,0,39,19,15
21,21,010101,0,41,20,17
22,22,010110,0,43,21,18
23,23,010111,0,45,22,20
24,24,011000,0,47,23,21
25,25,011001,0,49,24,23
26,26,011010,0,51,25,25
27,27,011011,0,53,26,27
28,28,011100,0,55,27,29
29,29,011101,0,57,28,31
30,30,011110,0,59,29,33
31,31,011111,0,61,30,35
32,32,100000,0,63,31,37
33,33,100001,0,65,32,40
34,34,100010,0,67,33,42
35,35,100011,0,69,34,44
36,36,100100,0,71,35,47
37,37,100101,0,73,36,49
38,38,100110,0,75,37,52
39,39,100111,0,77,38,54
40,40,101000,0,79,39,57
41,41,101001,0,81,40,59
42,42,101010,0,83,41,62
43,43,101011,0,85,42,65
44,44,101100,0,87,43,67
45,45,101101,0,89,44,70
46,46,101110,0,91,45,73
47,47,101111,0,93,46,76
48,48,110000,0,95,47,79
49,49,110001,0,97,48,82
50,50,110010,0,99,49,85
51,51,110011,0,101,50,88
52,52,110100,0,103,51,90
53,53,110101,0,105,52,93
54,54,110110,0,107,53,97
55,55,110111,0,109,54,100
56,56,111000,0,111,55,103
57,57,111001,0,113,56,106
58,58,111010,0,115,57,109
59,59,111011,0,117,58,112
60,60,111100,0,119,59,115
61,61,111101,0,121,60,118
62,62,111110,0,123,61,121
63,63,111111,0,125,62,124
64,64,1000000,0,127,63,128
65,65,1000001,0,129,64,131
66,66,1000010,0,131,65,134
67,67,1000011,0,133,66,137
68,68,1000100,0,135,67,140
69,69,1000101,0,137,68,143
70,70,1000110,0,139,69,146
71,71,1000111,0,141,70,149
72,72,1001000,0,143,71,152
73,73,1001001,0,145,72,155
74,74,1001010,0,147,73,158
75,75,1001011,0,149,74,162
76,76,1001100,0,151,75,165
77,77,1001101,0,153,76,167
78,78,1001110,0,155,77,170
79,79,1001111,0,157,78,173
80,80,1010000,0,159,79,176
81,81,1010001,0,161,80,179
82,82,1010010,0,163,81,182
83,83,1010011,0,165,82,185
84,84,1010100,0,167,83,188
85,85,1010101,0,169,84,190
86,86,1010110,0,171,85,193
87,87,1010111,0,173,86,196
88,88,1011000,0,175,87,198
